Sample,simRun,simType
TCGA.A6.2677,001,B
TCGA.A6.2681,001,A
TCGA.A6.2682,001,B
TCGA.A6.4105,001,A
TCGA.A6.6649,001,A
TCGA.AA.3496,001,B
TCGA.AA.3506,001,B
TCGA.AA.3516,001,B
TCGA.AA.3520,001,A
TCGA.AA.3522,001,B
TCGA.AA.3524,001,A
TCGA.AA.3525,001,A
TCGA.AA.3530,001,B
TCGA.AA.3531,001,B
TCGA.AA.3543,001,A
TCGA.AA.3552,001,B
TCGA.AA.3554,001,B
TCGA.AA.3556,001,A
TCGA.AA.3560,001,B
TCGA.AA.3562,001,B
TCGA.AA.3662,001,B
TCGA.AA.3688,001,B
TCGA.AA.3692,001,B
TCGA.AA.3697,001,B
TCGA.AA.3713,001,B
TCGA.AA.3715,001,B
TCGA.AA.3844,001,B
TCGA.AA.3860,001,A
TCGA.AA.3862,001,B
TCGA.AA.3867,001,B
TCGA.AA.3870,001,A
TCGA.AA.3939,001,A
TCGA.AA.3950,001,B
TCGA.AA.3952,001,B
TCGA.AA.3972,001,A
TCGA.AA.3976,001,A
TCGA.AA.3979,001,A
TCGA.AA.3986,001,A
TCGA.AA.A00L,001,B
TCGA.AA.A00Z,001,B
TCGA.AA.A024,001,A
TCGA.AD.6548,001,B
TCGA.AD.6888,001,A
TCGA.AD.6895,001,B
TCGA.AD.6964,001,A
TCGA.AZ.4313,001,B
TCGA.AZ.4681,001,A
TCGA.AZ.6601,001,A
TCGA.AZ.6608,001,B
TCGA.CK.5912,001,A
TCGA.DM.A285,001,A
TCGA.G4.6294,001,B
TCGA.G4.6298,001,A
TCGA.G4.6310,001,B
TCGA.G4.6314,001,B
TCGA.G4.6321,001,B
TCGA.G4.6586,001,A
TCGA.G4.6588,001,A
TCGA.G4.6625,001,A
TCGA.G4.6628,001,A
TCGA.NH.A8F7,001,B
TCGA.AF.3913,001,A
TCGA.AG.3580,001,B
TCGA.AG.3611,001,B
TCGA.AG.3612,001,A
TCGA.AG.3890,001,B
TCGA.AG.4008,001,A
TCGA.AG.A00H,001,A
TCGA.AG.A014,001,B
TCGA.AG.A015,001,B
TCGA.AG.A01N,001,A
TCGA.AG.A023,001,B
TCGA.BM.6198,001,A
TCGA.G5.6233,001,B
TCGA.G5.6235,001,A
TCGA.G5.6641,001,B
TCGA.3L.AA1B,001,B
TCGA.4N.A93T,001,B
TCGA.4T.AA8H,001,A
TCGA.5M.AAT4,001,B
TCGA.5M.AAT6,001,B
TCGA.5M.AATE,001,A
TCGA.A6.2671,001,A
TCGA.A6.2672,001,B
TCGA.A6.2674,001,B
TCGA.A6.2675,001,B
TCGA.A6.2676,001,B
TCGA.A6.2678,001,B
TCGA.A6.2679,001,B
TCGA.A6.2680,001,B
TCGA.A6.2683,001,B
TCGA.A6.2684,001,B
TCGA.A6.2685,001,B
TCGA.A6.2686,001,B
TCGA.A6.3807,001,A
TCGA.A6.3808,001,A
TCGA.A6.3809,001,A
TCGA.A6.3810,001,A
TCGA.A6.4107,001,B
TCGA.A6.5656,001,A
TCGA.A6.5657,001,A
TCGA.A6.5659,001,B
TCGA.A6.5660,001,B
TCGA.A6.5661,001,A
TCGA.A6.5662,001,B
TCGA.A6.5664,001,B
TCGA.A6.5665,001,A
TCGA.A6.5666,001,B
TCGA.A6.5667,001,B
TCGA.A6.6137,001,A
TCGA.A6.6138,001,A
TCGA.A6.6140,001,B
TCGA.A6.6141,001,A
TCGA.A6.6142,001,A
TCGA.A6.6648,001,B
TCGA.A6.6650,001,A
TCGA.A6.6651,001,B
TCGA.A6.6652,001,B
TCGA.A6.6653,001,A
TCGA.A6.6654,001,A
TCGA.A6.6780,001,A
TCGA.A6.6781,001,A
TCGA.A6.6782,001,B
TCGA.A6.A565,001,B
TCGA.A6.A566,001,B
TCGA.A6.A567,001,A
TCGA.A6.A56B,001,A
TCGA.A6.A5ZU,001,A
TCGA.AA.3488,001,A
TCGA.AA.3489,001,A
TCGA.AA.3492,001,B
TCGA.AA.3494,001,A
TCGA.AA.3495,001,B
TCGA.AA.3502,001,B
TCGA.AA.3509,001,B
TCGA.AA.3510,001,A
TCGA.AA.3511,001,B
TCGA.AA.3514,001,A
TCGA.AA.3517,001,A
TCGA.AA.3518,001,A
TCGA.AA.3519,001,B
TCGA.AA.3526,001,B
TCGA.AA.3532,001,B
TCGA.AA.3534,001,A
TCGA.AA.3538,001,B
TCGA.AA.3542,001,A
TCGA.AA.3544,001,A
TCGA.AA.3548,001,A
TCGA.AA.3549,001,B
TCGA.AA.3553,001,A
TCGA.AA.3555,001,B
TCGA.AA.3558,001,B
TCGA.AA.3561,001,A
TCGA.AA.3655,001,B
TCGA.AA.3660,001,A
TCGA.AA.3663,001,A
TCGA.AA.3664,001,B
TCGA.AA.3666,001,B
TCGA.AA.3667,001,B
TCGA.AA.3673,001,B
TCGA.AA.3675,001,A
TCGA.AA.3678,001,A
TCGA.AA.3679,001,A
TCGA.AA.3680,001,A
TCGA.AA.3681,001,B
TCGA.AA.3685,001,A
TCGA.AA.3696,001,A
TCGA.AA.3710,001,A
TCGA.AA.3811,001,B
TCGA.AA.3812,001,A
TCGA.AA.3815,001,A
TCGA.AA.3818,001,A
TCGA.AA.3819,001,A
TCGA.AA.3821,001,A
TCGA.AA.3831,001,B
TCGA.AA.3833,001,B
TCGA.AA.3837,001,B
TCGA.AA.3841,001,A
TCGA.AA.3842,001,A
TCGA.AA.3846,001,B
TCGA.AA.3848,001,A
TCGA.AA.3851,001,A
TCGA.AA.3854,001,B
TCGA.AA.3855,001,B
TCGA.AA.3856,001,B
TCGA.AA.3858,001,A
TCGA.AA.3861,001,A
TCGA.AA.3864,001,A
TCGA.AA.3866,001,A
TCGA.AA.3869,001,A
TCGA.AA.3875,001,B
TCGA.AA.3877,001,B
TCGA.AA.3930,001,B
TCGA.AA.3941,001,B
TCGA.AA.3947,001,B
TCGA.AA.3949,001,A
TCGA.AA.3955,001,A
TCGA.AA.3956,001,B
TCGA.AA.3966,001,A
TCGA.AA.3967,001,B
TCGA.AA.3968,001,A
TCGA.AA.3970,001,A
TCGA.AA.3971,001,B
TCGA.AA.3973,001,A
TCGA.AA.3975,001,B
TCGA.AA.3977,001,B
TCGA.AA.3980,001,B
TCGA.AA.3982,001,B
TCGA.AA.3989,001,B
TCGA.AA.3994,001,A
TCGA.AA.A004,001,B
TCGA.AA.A00A,001,A
TCGA.AA.A00D,001,A
TCGA.AA.A00E,001,A
TCGA.AA.A00F,001,B
TCGA.AA.A00J,001,A
TCGA.AA.A00K,001,B
TCGA.AA.A00N,001,A
TCGA.AA.A00O,001,A
TCGA.AA.A00Q,001,A
TCGA.AA.A00R,001,A
TCGA.AA.A00U,001,A
TCGA.AA.A00W,001,A
TCGA.AA.A010,001,A
TCGA.AA.A017,001,B
TCGA.AA.A01C,001,B
TCGA.AA.A01D,001,A
TCGA.AA.A01F,001,B
TCGA.AA.A01G,001,B
TCGA.AA.A01I,001,A
TCGA.AA.A01K,001,B
TCGA.AA.A01P,001,B
TCGA.AA.A01Q,001,B
TCGA.AA.A01R,001,A
TCGA.AA.A01S,001,A
TCGA.AA.A01T,001,A
TCGA.AA.A01V,001,B
TCGA.AA.A01X,001,A
TCGA.AA.A01Z,001,A
TCGA.AA.A029,001,B
TCGA.AA.A02E,001,B
TCGA.AA.A02F,001,A
TCGA.AA.A02H,001,A
TCGA.AA.A02J,001,A
TCGA.AA.A02K,001,B
TCGA.AA.A02R,001,A
TCGA.AA.A02W,001,B
TCGA.AA.A02Y,001,B
TCGA.AA.A03F,001,A
TCGA.AA.A03J,001,B
