set,setSize,pMANOVA,s.snp_score,s.rnaSeq_score,s.dnaM_score,p.snp_score,p.rnaSeq_score,p.dnaM_score,s.dist,SD,p.adjustMANOVA
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,128,7.492760305430611e-19,-0.21550668621230532,-0.2802159835026104,0.18542049257492318,2.298452395012598e-6,8.697129332014807e-11,4.163919124554658e-7,0.39918027040332466,0.25223904789570645,2.111459854070346e-15
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION,65,3.1626932893307836e-15,-0.3546068103240096,-0.31515278945483854,0.2074392005486627,3.765012720809366e-8,2.3407355659605847e-7,7.296666674736456e-5,0.5177820898347124,0.3137288442047922,4.456234844667074e-12
REACTOME_DNA_METHYLATION,62,1.2147613944714082e-13,-0.3125720956843512,-0.3161722176872048,0.2187565761840887,1.8950140646150898e-6,4.0971822637405056e-7,4.2973695823031074e-5,0.4955003792748674,0.30780728087027454,1.1410658698734762e-10
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,64,2.3964238035388566e-13,-0.34133838932555344,-0.31692169498528666,0.16383375504178993,1.411102302336613e-7,2.5148860403929497e-7,0.002019908056165933,0.4937537403106972,0.2848744966758587,1.6882805695931244e-10
REACTOME_HDACS_DEACETYLATE_HISTONES,91,6.029088965949227e-13,-0.17794593930963168,-0.2835610037470144,0.19401403260040417,6.495772173898347e-4,2.811798305663511e-8,1.1937028576705266e-5,0.3869276999759414,0.2508607441994015,3.3979945412089846e-10
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,71,5.2804708852263876e-12,-0.3131204678025433,-0.25793939903528856,0.1662058766090261,3.2792839132543735e-7,6.745985942206002e-6,9.676589105402118e-4,0.43840797706125767,0.26226510431515876,2.48006115909466e-9
REACTOME_HDMS_DEMETHYLATE_HISTONES,45,5.171897028659687e-11,-0.34699537494346044,-0.3203016735152716,0.21151876566355082,7.929754095086573e-6,3.681112210363785e-6,8.657153277789604e-4,0.5174351558569136,0.31503533624084173,2.082057975251857e-8
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,129,4.2059562684759266e-10,-0.14032753723203908,-0.2568698891093193,0.03652922108635074,3.759023215412045e-4,3.912508530398971e-9,0.3727414115452232,0.29497176412297293,0.14772918387350328,1.4815480955706452e-7
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA,70,5.395310708006385e-10,-0.2694870337253289,-0.2531296375062154,0.15181125402839202,1.0864136616976287e-5,1.1102161479210955e-5,0.00284834966503658,0.3996805369038847,0.23865488936681797,1.6893317305735545e-7
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS,88,6.791052444634098e-10,-0.14537836375128074,-0.2238177591083176,0.19774992772772945,0.0029836059323205214,1.35380918512887e-5,1.262082563843985e-5,0.3321660606618184,0.22420566367421735,1.9137185788978888e-7
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX,90,9.343098883415157e-10,-0.17821364386161334,-0.24491268445848854,0.14681882195899945,3.664932888318901e-4,1.5078396530581403e-6,0.001161710310482892,0.33659781988082677,0.209582298462953,2.3935320594058103e-7
