pathway,size,snpPval,dnamPval,rnaseqPval,snpFDR,dnamFDR,rnaseqFDR,drivers,MiniMax,MiniMaxP,MiniMaxFDR
PID_PDGFRB_PATHWAY,126,0.698841650897714,1.4534545377584e-4,1.666445000187623e-4,0.999201393685791,0.13725455684899,0.00330018587605253,DNAm and RNAseq,1.666445000187623e-4,8.330191259420048e-8,2.3599431837936996e-4
WP_CHEMOKINE_SIGNALING_PATHWAY,155,0.818726540026981,3.1748900164487e-4,1.9408003886224057e-5,0.999201393685791,0.138678802686384,8.995803542332672e-4,DNAm and RNAseq,3.1748900164487e-4,3.0233379317960606e-7,3.2821754546196184e-4
KEGG_HEMATOPOIETIC_CELL_LINEAGE,80,3.6674695795588e-36,3.4041359410774e-4,0.7612387612387612,3.23883407244787e-34,0.138678802686384,0.8110528057876685,DNAm and SNP,3.4041359410774e-4,3.475653499420704e-7,3.2821754546196184e-4
PID_TCR_PATHWAY,58,4.4783644882072e-4,0.0274765175996651,4.90003351736254e-4,0.0204126742639897,0.643024957267851,0.00654801648806041,RNAseq and SNP,4.90003351736254e-4,7.200745513097445e-7,5.099928009651265e-4
WP_REGULATION_OF_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY,128,3.7626625709497e-5,0.0332143739369852,6.548600972352122e-4,0.00208495773049095,0.668278068471016,0.00769800271978156,RNAseq and SNP,6.548600972352122e-4,1.2859635781565207e-6,5.686063956510543e-4
KEGG_CHEMOKINE_SIGNALING_PATHWAY,172,0.789691718617613,6.716326594681e-4,2.9847993340967837e-4,0.999201393685791,0.147463242650769,0.00469774250749788,DNAm and RNAseq,6.716326594681e-4,1.352665353663242e-6,5.686063956510543e-4
PID_KIT_PATHWAY,52,0.255482981732107,6.8449469864815e-4,1.0998602077049028e-4,0.999201393685791,0.147463242650769,0.00268612411071378,DNAm and RNAseq,6.8449469864815e-4,1.4049575607332793e-6,5.686063956510543e-4
WP_KIT_RECEPTOR_SIGNALING_PATHWAY,57,0.0305289835886938,3.6770363922367e-4,0.0014082274302396,0.594999362907922,0.138678802686384,0.01262502629705315,DNAm and RNAseq,0.0014082274302396,5.943728161543111e-6,0.0021048227352064544
PID_CXCR4_PATHWAY,98,4.8744575856185e-4,0.00150144575837801,0.07292707292707293,0.0218654240269173,0.23631087963805,0.1555740945801187,DNAm and SNP,0.00150144575837801,6.756248559497847e-6,0.0021267169076730446
REACTOME_TCR_SIGNALING,112,6.05872546322033e-52,0.207305565132495,0.00216440610994992,6.11498505680738e-50,0.945684440980129,0.0167993493410634,RNAseq and SNP,0.00216440610994992,1.4033682439712133e-5,0.003975742235170447
REACTOME_HATS_ACETYLATE_HISTONES,100,0.00311240137421436,0.830961087348205,0.00320034002961064,0.118860084912564,1,0.02216763643982143,RNAseq and SNP,0.00320034002961064,3.06609720217454e-5,0.007155642202201811
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,120,7.070210541038168e-55,0.64424214080559,0.00327433551609133,7.68477499575918e-53,1,0.02246051456921731,RNAseq and SNP,0.00327433551609133,3.2093609125416914e-5,0.007155642202201811
WP_INSULIN_SIGNALING,155,0.0870214764613559,0.00331201323091901,1.480244799098999e-6,0.870933107525341,0.427216570232715,1.9695040127074408e-4,DNAm and RNAseq,0.00331201323091901,3.2835633119881235e-5,0.007155642202201811
REACTOME_RAC1_GTPASE_CYCLE,170,0.0846203817941167,0.00354674129025616,2.791441267039967e-8,0.870933107525341,0.436866003273726,3.8250608704583416e-5,DNAm and RNAseq,0.00354674129025616,3.764888977124152e-5,0.007614459062624483
REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA,78,1.89684822245263e-5,0.902914241814729,0.00368131098111713,0.00111676939096899,1,0.02425384653373217,RNAseq and SNP,0.00368131098111713,4.055637299414381e-5,0.007614459062624483
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,120,0.58653474244034,0.00379092412281221,3.4566244434862845e-6,0.999201393685791,0.445280597572864,3.477893643202659e-4,DNAm and RNAseq,0.00379092412281221,4.3004357572182045e-5,0.007614459062624483
WP_TRANSCRIPTION_FACTOR_REGULATION_IN_ADIPOGENESIS,22,0.837339354058822,0.00394049472212473,7.647650242599387e-4,0.999201393685791,0.445280597572864,0.00849638946560159,DNAm and RNAseq,0.00394049472212473,4.646012391228213e-5,0.007742443002558545
REACTOME_SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS,58,0.00448484342962846,0.61453850056826,0.00382966666529807,0.156471204100371,1,0.02460191760269718,RNAseq and SNP,0.00448484342962846,6.0161047092624514e-5,0.009406479338841969
REACTOME_HCMV_INFECTION,122,0.00459274493275886,0.984952509694298,1.5498553872336148e-5,0.158061207023955,1,7.980633302495853e-4,RNAseq and SNP,0.00459274493275886,6.308616570349361e-5,0.009406479338841969
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,189,0.00479294738862537,0.133739012790187,2.7747373795412116e-7,0.161248444288754,0.845720141148663,7.860830996240252e-5,RNAseq and SNP,0.00479294738862537,6.869682353159763e-5,0.009730905053250805
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,80,0.00131861816327227,0.994148917382712,0.00531687566626502,0.055618133274738,1,0.02965100150104095,RNAseq and SNP,0.00531687566626502,8.450689326089705e-5,0.010421073923789236
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,65,1.0317649620554501e-65,0.00536112287217712,0.10989010989010987,2.65069798433518e-63,0.445280597572864,0.20294568534464233,DNAm and SNP,0.00536112287217712,8.591674044117935e-5,0.010421073923789236
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,157,3.32047175453357e-6,0.0282463971948911,0.00539123635998423,2.2342031376933e-4,0.647766882107062,0.02971473270006877,RNAseq and SNP,0.00539123635998423,8.688289126708635e-5,0.010421073923789236
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,83,0.107591122201361,0.00543458154263838,0.00297835369022815,0.932778517759528,0.445280597572864,0.02125359195067091,DNAm and RNAseq,0.00543458154263838,8.828301241473408e-5,0.010421073923789236
REACTOME_OPIOID_SIGNALLING,89,0.590946615576107,0.00446876876571298,0.00576304005991317,0.999201393685791,0.445280597572864,0.03098044115699053,DNAm and RNAseq,0.00576304005991317,9.925508075368278e-5,0.011247585751007332
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,66,4.40956711531603e-6,0.491193000853937,0.00606048326339786,2.7090079712789e-4,1,0.03209224128075915,RNAseq and SNP,0.00606048326339786,1.0974317563425459e-4,0.011957785252763203
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,109,0.629810990404137,5.3846340612432e-4,0.00695281388103516,0.999201393685791,0.138678802686384,0.03542683763484283,DNAm and RNAseq,0.00695281388103516,1.4435264200779135e-4,0.014694401139399692
